"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior5","ub.bayes.sdprior5","cover.bayes.sdprior5","width.bayes.sdprior5","lb.bayes.sdprior10","ub.bayes.sdprior10","cover.bayes.sdprior10","width.bayes.sdprior10","lb.bayes.sdprior15","ub.bayes.sdprior15","cover.bayes.sdprior15","width.bayes.sdprior15","lb.bayes.sdprior20","ub.bayes.sdprior20","cover.bayes.sdprior20","width.bayes.sdprior20","lb.bayes.sdprior25","ub.bayes.sdprior25","cover.bayes.sdprior25","width.bayes.sdprior25","lb.bayes.sdprior30","ub.bayes.sdprior30","cover.bayes.sdprior30","width.bayes.sdprior30","NA"
"1",1,10,-0.9,66.2298329391268,77.8573073331736,1,11.6274743940468,65.1441713667141,77.2725682349174,1,12.1283968682033,67.433794873668,73.9537756048775,1,6.5199807312095,67.5447043405375,74.9747691180768,1,7.43006477753933,66.8146596039355,75.7779028810081,1,8.96324327707261,67.1612864161323,75.5238770521611,1,8.3625906360288,67.2637963399612,76.1799496743932,1,8.91615333443194,66.9929046841268,76.4622345068866,1,9.46932982275986,70
"2",2,10,-0.9,42.5909278391211,72.9171048824269,1,30.3261770433058,39.2471048207023,69.5213797599292,1,30.2742749392268,65.4220378219549,74.259256261974,1,8.8372184400191,63.1172737434117,74.8110932954883,1,11.6938195520765,63.6409967563153,77.3822358576758,1,13.7412391013605,60.0041978296655,79.3182634884465,1,19.314065658781,57.5485887853982,76.9960861051708,1,19.4474973197726,60.4646929069845,78.8248986653883,1,18.3602057584038,70
"3",3,10,-0.9,60.8840766177634,74.4452710035075,1,13.5611943857441,60.7071140224765,73.7723097471207,1,13.0651957246442,65.3256197567839,74.3830457559585,1,9.05742599917465,63.6557682135563,75.6309649137329,1,11.9751967001766,62.4642814463145,76.9331518769909,1,14.4688704306764,60.7855958106995,77.0883591693331,1,16.3027633586337,62.6731986671002,79.5165407922542,1,16.843342125154,59.1271627694168,78.6607024513982,1,19.5335396819814,70
"4",4,10,-0.9,60.2254335676487,77.0190602041603,1,16.7936266365116,58.6070715278419,76.1862649686714,1,17.5791934408295,65.6987875711594,73.3467804647235,1,7.64799289356418,64.4791319725057,74.15728226337,1,9.67815029086438,63.7471910358603,75.3546719906567,1,11.6074809547964,64.5287042700669,75.6453424360746,1,11.1166381660077,63.751855685406,74.9527320866838,1,11.2008764012778,63.2960608778361,75.3285349549657,1,12.0324740771296,70
"5",5,10,-0.9,56.1230125780862,69.4001240473553,1,13.2771114692691,56.4743043373548,69.4017840808404,1,12.9274797434855,63.0337287364684,68.9526755384924,1,5.918946802024,61.2003539187335,68.1377137511456,1,6.93735983241204,59.7674086840518,67.8791781268724,0,8.11176944282057,59.1387415519446,67.4847556342267,0,8.34601408228212,59.4480872966832,67.3077096556952,0,7.85962235901198,59.2827644890945,67.3211074955467,0,8.03834300645218,70
"6",6,10,-0.9,60.2851336402621,77.2563156406574,1,16.9711820003953,58.8951933341291,75.4795033021971,1,16.584309968068,65.9820638211971,73.5090340618028,1,7.52697024060573,64.7806411928055,74.6155579722204,1,9.83491677941497,64.70352530083,74.3198062525198,1,9.61628095168979,64.2931338626892,74.6807743630163,1,10.3876405003271,63.544841243272,74.9630624551171,1,11.418221211845,62.1033507519027,74.6536133346042,1,12.5502625827015,70
"7",7,10,-0.9,55.0876276460569,76.3954724815054,1,21.3078448354484,52.8720699148259,74.9557055771496,1,22.0836356623236,65.4689590401251,73.7439109148295,1,8.27495187470439,64.2231617766443,74.4905269715645,1,10.2673651949202,62.5167600155744,74.3969687155389,1,11.8802086999645,62.5066685896997,75.6848655239146,1,13.1781969342149,60.2534563687338,74.6015725498654,1,14.3481161811316,60.9212169412826,74.2699337036453,1,13.3487167623627,70
"8",8,10,-0.9,62.0618441500661,72.8552740958544,1,10.7934299457884,61.5206531128398,72.2471761345909,1,10.7265230217511,65.8971472606767,71.9667782056763,1,6.06963094499957,64.6766745408849,72.1656333737948,1,7.48895883290989,64.0164352915652,71.9341034233336,1,7.91766813176834,63.6785728892003,72.1184115350442,1,8.43983864584395,63.3573900617977,72.3830772173393,1,9.0256871555416,63.3951726200599,72.0909362959125,1,8.69576367585258,70
"9",9,10,-0.9,58.9351443133334,73.0438688029431,1,14.1087244896097,58.8040947185125,73.2801483413159,1,14.4760536228034,64.7649067775862,72.3938657285295,1,7.62895895094336,63.9236152007354,72.7732542292167,1,8.84963902848129,62.4002165018542,72.3236317849831,1,9.92341528312888,62.2042539040633,73.8151198794705,1,11.6108659754071,61.8001469001746,73.3100600677053,1,11.5099131675307,60.535671806411,73.8863471629804,1,13.3506753565694,70
"10",10,10,-0.9,61.6131840002688,72.9874497544923,1,11.3742657542235,61.3490234912984,72.54435683837,1,11.1953333470717,65.5717593787434,72.1962087435487,1,6.62444936480523,64.3275709110604,72.7488204318044,1,8.42124952074398,63.612230201266,71.7725490864965,1,8.16031888523047,63.9243488042895,72.7028156673456,1,8.77846686305616,62.9440592071156,72.9995908781023,1,10.0555316709867,63.1646552877607,72.1221022373154,1,8.95744694955471,70
